,artist,date,genre,song,year
0,alicia keys,2008-01-05,R_and_B,like you'll never see me again,2008
1,alicia keys,2008-01-12,R_and_B,like you'll never see me again,2008
2,alicia keys,2008-01-19,R_and_B,like you'll never see me again,2008
3,alicia keys,2008-01-26,R_and_B,like you'll never see me again,2008
4,alicia keys,2008-02-02,R_and_B,like you'll never see me again,2008
5,alicia keys,2008-02-09,R_and_B,like you'll never see me again,2008
6,alicia keys,2008-02-16,R_and_B,like you'll never see me again,2008
7,keyshia cole,2008-02-23,R_and_B,i remember,2008
8,keyshia cole,2008-03-01,R_and_B,i remember,2008
9,keyshia cole,2008-03-08,R_and_B,i remember,2008
10,keyshia cole,2008-03-15,R_and_B,i remember,2008
11,keyshia cole,2008-03-22,R_and_B,i remember,2008
12,keyshia cole,2008-03-29,R_and_B,i remember,2008
13,keyshia cole,2008-04-05,R_and_B,i remember,2008
14,usher featuring young jeezy,2008-04-12,R_and_B,love in this club,2008
15,usher featuring young jeezy,2008-04-19,R_and_B,love in this club,2008
16,usher featuring young jeezy,2008-04-26,R_and_B,love in this club,2008
17,usher featuring young jeezy,2008-05-03,R_and_B,love in this club,2008
18,lil wayne featuring static major,2008-05-10,R_and_B,lollipop,2008
19,lil wayne featuring static major,2008-05-17,R_and_B,lollipop,2008
20,lil wayne featuring static major,2008-05-24,R_and_B,lollipop,2008
21,lil wayne featuring static major,2008-05-31,R_and_B,lollipop,2008
22,lil wayne featuring static major,2008-06-07,R_and_B,lollipop,2008
23,lil wayne featuring static major,2008-06-14,R_and_B,lollipop,2008
24,keyshia cole,2008-06-21,R_and_B,heaven sent,2008
25,keyshia cole,2008-06-28,R_and_B,heaven sent,2008
26,keyshia cole,2008-07-05,R_and_B,heaven sent,2008
27,keyshia cole,2008-07-12,R_and_B,heaven sent,2008
28,keyshia cole,2008-07-19,R_and_B,heaven sent,2008
29,keyshia cole,2008-07-26,R_and_B,heaven sent,2008
30,keyshia cole,2008-08-02,R_and_B,heaven sent,2008
31,keyshia cole,2008-08-09,R_and_B,heaven sent,2008
32,keyshia cole,2008-08-16,R_and_B,heaven sent,2008
33,lil wayne,2008-08-23,R_and_B,a milli,2008
34,rihanna,2008-08-30,R_and_B,take a bow,2008
35,jazmine sullivan,2008-09-06,R_and_B,need u bad,2008
36,jazmine sullivan,2008-09-13,R_and_B,need u bad,2008
37,jazmine sullivan,2008-09-20,R_and_B,need u bad,2008
38,jazmine sullivan,2008-09-27,R_and_B,need u bad,2008
39,t.i.,2008-10-04,R_and_B,whatever you like,2008
40,t.i.,2008-10-11,R_and_B,whatever you like,2008
41,t.i.,2008-10-18,R_and_B,whatever you like,2008
42,jennifer hudson,2008-10-25,R_and_B,spotlight,2008
43,jennifer hudson,2008-11-01,R_and_B,spotlight,2008
44,ne-yo,2008-11-08,R_and_B,miss independent,2008
45,ne-yo,2008-11-15,R_and_B,miss independent,2008
46,ne-yo,2008-11-22,R_and_B,miss independent,2008
47,beyonce,2008-11-29,R_and_B,single ladies (put a ring on it),2008
48,beyonce,2008-12-06,R_and_B,single ladies (put a ring on it),2008
49,beyonce,2008-12-13,R_and_B,single ladies (put a ring on it),2008
50,beyonce,2008-12-20,R_and_B,single ladies (put a ring on it),2008
51,beyonce,2008-12-27,R_and_B,single ladies (put a ring on it),2008
52,beyonce,2009-01-03,R_and_B,single ladies (put a ring on it),2009
53,beyonce,2009-01-10,R_and_B,single ladies (put a ring on it),2009
54,beyonce,2009-01-17,R_and_B,single ladies (put a ring on it),2009
55,beyonce,2009-01-24,R_and_B,single ladies (put a ring on it),2009
56,beyonce,2009-01-31,R_and_B,single ladies (put a ring on it),2009
57,beyonce,2009-02-07,R_and_B,single ladies (put a ring on it),2009
58,beyonce,2009-02-14,R_and_B,single ladies (put a ring on it),2009
59,jamie foxx featuring t-pain,2009-02-21,R_and_B,blame it,2009
60,jamie foxx featuring t-pain,2009-02-28,R_and_B,blame it,2009
61,jamie foxx featuring t-pain,2009-03-07,R_and_B,blame it,2009
62,jamie foxx featuring t-pain,2009-03-14,R_and_B,blame it,2009
63,jamie foxx featuring t-pain,2009-03-21,R_and_B,blame it,2009
64,jamie foxx featuring t-pain,2009-03-28,R_and_B,blame it,2009
65,jamie foxx featuring t-pain,2009-04-04,R_and_B,blame it,2009
66,jamie foxx featuring t-pain,2009-04-11,R_and_B,blame it,2009
67,jamie foxx featuring t-pain,2009-04-18,R_and_B,blame it,2009
