,artist,song,genre,lyrics
0,alicia keys,like you'll never see me again,R_and_B,"If I had no more time
No more time left to be here
Would you cherish what we had?
Was it everything that you were looking for?
If I couldn't feel your touch
And no longer were you with me
I'd be wishing you were here
To be everything that I'd be looking for
I don't wanna forget the present is a gift
And I don't wanna take for granted the time you may have here with me
'Cause Lord only knows another day is not really guaranteed

So every time you hold me
Hold me like this is the last time
Every time you kiss me
Kiss me like you'll never see me again
Every time you touch me
Touch me like this is the last time
Promise that you'll love me
Love me like you'll never see me again

Oh Oh Ohhhhh

How many really know what love is?
Millions never will
Do you know until you lose it
That it's everything that we are looking for
When I wake up in the morning
You're beside me
I'm so thankful that I found
Everything that I been looking for

I don't wanna forget the present is a gift
And I don't wanna take for granted the time you may have here with me
'Cause Lord only knows another day is not really guaranteed

So everytime you hold me
Hold me like this is the last time
Every time you kiss me
Kiss me like you'll never see me again
(can you do that for me baby)
Every time you touch me
(see we don't really know)
Touch me like this is the last time
(see everyday we never know)
Promise that you'll love me
(I want you to promise me)
Love me like you'll never see me again
(like you'll never see me again)

Ohhh ohhh ohhh ohhh ohhh"
1,keyshia cole,i remember,R_and_B,"Ohhh....
Remember...
Ohhh, I remember...
I wanna know...

[Verse 1:]
Where were you when I said I loved you?
And where were you when I cried at night?
Waiting up, couldn't sleep without you.
Thinking of all the times we shared.

[Chorus:]
I remember when my heart broke.
I remember when I gave up loving you.
My heart couldn't take no more of you.
I was sad and lonely.
I remember when I walked out.
I remember when I screamed I hated you.
But somehow deep inside I'm still loving you.
I'm sad and lonely.

[Verse 2:]
No one knew all the pain I went through.
All the love I saved deep in my heart for you.
Didn't know where I would go, where I would be.
But you made me leave.
And plus my heart it just, it kept telling me so.

[Chorus:]
I remember when my heart broke.
I remember when I gave up loving you.
My heart couldn't take no more of you.
I was sad and lonely.
I remember when I walked out.
I remember when I screamed I hated you.
But somehow deep inside I'm still loving you.
So sad and lonely.

[Bridge:]
There was nowhere else to go, oh.
Nobody else to turn to, no.
For the rest of my life, I promised myself I will love me first genuinely.

[Chorus:]
I remember when my heart broke.
I remember when I gave up loving you.
My heart couldn't take no more of you.
I was sad and lonely.
I remember when I walked out.
I remember when I said I hated you.
But somehow deep inside I'm still loving you.
Sad and lonely.

I remember when I walked out.
I remember when I gave up loving you.
My heart couldn't take no more of you.
So sad and lonely, hey.
I remember when I stormed out.
I remember when I gave up loving you.
I was sad and lonely."
2,usher featuring young jeezy,love in this club,R_and_B,"(Usher talking)
I do it for the ladies
I gotta keep it hood
Where we at Polo? ('ey)
I see you right
Yo Keith You was right
We just gettin started
Yeahhhhhh man

(Usher)
You say you searching for somebody
That'll take you out and do you right
Well come here baby and let daddy show you what it feel like
You know all you gotta do is tell me what you sippin' on (sippin on sippin on) (ey)
And I promise that I'm gonna keep it comin' all night long

[Hook:]
Lookin' in your eyes while you on the other side
And I think shorty I've got a thing for you
Doin' it on purpose Windin and workin' it
I can tell by the way you lookin' at me girl

[Chorus:]
I wanna make love in this club 'ey (in this club 'ey in this club 'ey)
I wanna make love in this club 'ey (in this club 'ey in this club 'ey)

(Usher)
(Listen) Got some friends rollin' wit you baby then that's cool (that's cool, that's cool)
You can leave em wit my niggaz let em know that I got you (got you, got u)
If you didn't know, you're the only thing that's on my mind (my mind, my mind)
Cos the way you staring miss you got me wantin to give it to you all night

[Hook:]
Lookin' in your eyes while you on the other side
I can't take it no more baby I'm comin for you
You keep doin' it on purpose whindin and workin' it
If we close our eyes it could be just me and you

[Chorus:]
I wanna make love in this club 'ey (in this club 'ey in this club 'ey)
I wanna make love in this club 'ey (in this club 'ey in this club 'ey)
I wanna make love in this club 'ey (in this club 'ey in this club 'ey)
I wanna make love in this club 'ey (in this club 'ey in this club 'ey)

(Young Jeezy talking)
Polo you A fool for this one homie
I'm on em, yeahhhh
Lets go!!

(Young Jeezy)
I'm what you want, I'm what you need
He got you trapped, I'll set you free
Sexually, mentally, physically, emotionally
I'll be like your medicine, you'll take every dose of me
It's going down on isle 3. I'll bag you like some groceries
And every time you think about it you gon' want some more of me
Bout to hit the club, make a movie yeah rated are
Pulled up like a trap star, that's if you had
(in the car) Have you ever made love to a thug in the club with his sights on?
87 Jeans and a fresh pair of Nikes on
On the couch, on the table, on the bar, or on the floor
You can meet me in the bathroom yeah you know I'm tryna go

(usher)
Might as well give me a kiss, if we keep touchin like this
I know you scared baby, They don't know what we doin
Lets both get undressed right here, keep it up girl I swear, imma give it to you non stop
And I don't care, who's watchin... Watchin... Watchin
(watchin watchin... Ohhhh... In this club, on the floor, baby's just makin love)

[Chorus:]
I wanna make love in this club 'ey (in this club 'ey in this club 'ey)
I wanna make love in this club 'ey (in this club 'ey in this club 'ey)
(lovin in... Lovin in this club. 'eyyy... Yea... Ey... Ey... Love... In the club... In the club, ur the one, can you freak me babe?)

(ey) X7
(usher)
In the back, on the side, in the front. Ya ya ya ya"
3,lil wayne featuring static major,lollipop,R_and_B,"[Intro: Lil Wayne]
Ow...
Uh Huh No Oh no...
Young Mula Baby
I say he so sweet
Make her wanna lick the wrapper
So I let her lick the wrapper

[Bridge: Static Major + (Lil Wayne)]
She she lick me
Like a lollipop (Yeah)
She she lick me
Like a lollipop (Yeah)
She she lick
Like a lollipop (Yeah)
She she lick
Me Like a lollipop

[Chorus: Static Major + Lil Wayne (x2)]
Shawty wanna thug
Bottles in the club
Shawty wanna hump
You know I like to touch
Ya lovely lady lumps

[Verse 1: Lil Wayne]
Come On Yeah Okay
Lil mama had a swag like mine
She even wear her hair
Down her back like mine
I make her feel right
When it's wrong like lyin'
Man she ain't never
Had a love like mine
But Man I ain't never
Seen an ass like hers
That pussy in my mouth
Had me loss for words
Told her to back it up
Like berp berp
And I made that ass jump
Like jerp jerp
And that's when she

[Bridge: Static Major + (Lil Wayne)]
She lick me
Like a lollipop (Oh yeah I like that)
She lick me
Like a lollipop (I like that)
She lick me
Like a lollipop (I like that)
She lick me
Like a lollipop

[Chorus:]

[Chorus: Static Major + (Lil Wayne)]
Shawty wanna thug (oh yeah I like that)
Bottles in the club (oh yeah I like that)
Shawty wanna hump
You know I like to touch
Ya lovely lady lumps

[Verse 2: Lil Wayne]
Ooooooooo
Okay
After you back it up
Then stop
Drop It shawty
Drop it like it's hot
Drop it like it's hot
Do do do it shawty
Don't stop
Shawty said the nigga
That she with ain't shit
Shawty said the nigga
That she with ain't this
Shawty said the nigga
That she with can't hit
But shawty I'm ma hit it, hit it,
Like I can't miss
And He can't do this
And He don't do that
Shawty need a refund
Need a bring that nigga back
Just like a refund
I make her bring that ass back
And she bring that ass back
Because I Like That

[Chorus: Static Major + (Lil Wayne)]
Shawty wanna thug (yeah I like that)
Bottles in the club (yeah I like that)
Shawty wanna hump
You know I like to touch
Ya lovely lady lumps

[Bridge: Static Major + (Lil Wayne)]
Shawty wanna lick, lick, lick, lick me
Like a lollipop
Shawty wanna lick, lick, lick, lick me
Like a lollipop
Shawty wanna lick me
Like a lollipop
She lick me
Like a lollipop
(I Let her lick the wrapper)

[Chorus: Lil Wayne]
Shawty wanna thug
Bottles in the club
Shawty wanna hump
You know I like to touch
Ya lovely lady lumps
Stat

[Break: Static Major (x4)]
Call me so I can
Make it juicy for you
Call me so I can
Get it juicy for you

[Chorus: Static Major + Lil Wayne (2x)]
Shawty wanna thug
Bottles in the club
Shawty wanna hump
You know I'd like to touch
Ya lovely lady lumps

[Verse 3: Lil Wayne]
I get her on top
She drop it like it's hot
And when I'm at the bottom
She Hilary Rodham (Ha)
The Middle of the Bed (Yeah)
Give and gettin' head (Huh)
Give and gettin' head (Huh)
Give and gettin' head (Ha)
I said hmmmm I like that
Say hmmmm yea I like that
I said hmmmm yea I like that
Hmm hmmm
Call me so I can
Come and do it for you
Call me so I can
Come and prove it for you
Call me so I can
Make it juicy for you
Call me so I can
Get it juicy for you

[Outro: Static Major + (Lil Wayne)]
Shawty wanna lick, lick, lick, lick me
Like a lollipop (Hahaha)
She She lick, lick, lick, lick me
Like a lollipop (I say he so sweet
Make her wanna lick the rapper)
She She lick me
Like a lollipop (And She Do)
She lick me
Like a lollipop
(So I let her lick the wrapper)"
4,keyshia cole,heaven sent,R_and_B,"Sent from heaven.
Sent from heaven.

Now you can wait your whole life wondering
When it's gonna come or where it's been.
You may have got your heart broken
A few times in the past
Never last as strong as it used to,
It don't feel as good as it used to (before)
And all the things you used to say,
Things you used to do, went right out the door

Ooh no more, will you be the one
That's what you tell everyone around you
But you know they've heard it all before
What more can you say
When love won't let you, walk away
And you can't help who you love
And you find yourself giving it all away
When you think you're in love
Ooh cause

[Chorus:]
I wanna be the one who you believe
In your heart is sent from (sent from heaven)
There's a piece of me who leaves when you gone
Because you're sent from (sent from heaven)
I wanna be the one who you believe
In your heart is sent from (sent from heaven)
There's a piece of me who leaves when you gone
Because you're sent from (sent from heaven)

Now you can wait your whole life tryna change
What they fear from what it's been
You may have put your whole life into a man
Love aint what you thought it could've been.
Don't wanna swing your change
And you don't feel as good as you used to (before)
And everything you used to say,
Everything you used to do, went right out the door

Ooh no more, will you be the one
That's what you tell everyone around you
But you know they've heard it all before
What more can you say
When love won't let you, walk away
And it can't help who it loves
And you find yourself giving it all away
When you think you're in love
Cause I wanna be hey yeah

[Chorus:]
I wanna be the one who you believe
In your heart is sent from (sent from heaven)
There's a piece of me who leaves when you gone
Because you're sent from (sent from heaven)
I wanna be the one who you believe
In your heart is sent from (sent from heaven)
There's a piece of me who leaves when you gone
Because you're sent from (sent from heaven)

Everybody say
I wanna be the one you love
(I wanna be)
Everybody say
I wanna be the one you trust
(I wanna be)
Everybody say
I wanna be the one you need
(I wanna be)
Everybody say
I wanna be the one ooh
I wanna be the one

[Chorus:]
I wanna be the one who you believe
In your heart is sent from (sent from heaven)
There's a piece of me who leaves when you gone
Because you're sent from (sent from heaven)
I wanna be the one who you believe
In your heart is sent from (sent from heaven)
There's a piece of me who leaves when you gone
Because you're sent from (sent from heaven)

I wanna be the one who you believe
In your heart is sent from (sent from heaven)
There's a piece of me who leaves when you gone
Because you're sent from (sent from heaven)"
5,lil wayne,a milli,R_and_B,"Call the president he's the next new president
He a senator from Illinois yeah
His criteria compared to John Mccain just isn't fair
Cuz he's b-l-a-c- so the eyes are on he
Through is pencil he write
Legislation with the country on his mind
And he don't cope ish
Cuz he ain't got time
Every second minute hour kkk wanna devour
He got guards ready to pop him
With their ch ch ch ch choppers
Every brother mother sister cousin grandma wanna hump him
Even got Hilary Clinton on the side ready to jump him
Tell the Clintons naaaaaaaaah
Couldn't catch him couldn't stop him
They go by the party rules
If you can't beat 'em you can't top 'em
Thought you'd smack couldn't pop em
Delegates couldn't cop 'em
Bill Clinton couldn't help her
Too bad she couldn't drop him

Man Obama so I'll

Obama goes here, Obama goes there
Sayin' yes we can just like Michelle he sittin' in the deriere
He travel to Arizona ready to cause some drama
Hopin' Mccain don't comment
Look at that bastard Obama
He's too young he's too hip
Negroes always causing problems
His pale lookin' face got him lookin' like a goblin
Mccain Mccain please don't vote for Mccain
First they up in office talkin' bout some heart pain
Call the ambulance quick all you hear is sirens
His temper isn't private
Dang I hate a mad prick
Don't you had a mad prick
Plus Mccains an old prick
Barack's a yonger guy so choose him
He's the right pick
But if you choose the wrong pick
Your step-son will probably end up in Iraq quick

His health care plan is so immaculate
So even if you broke you can afford to take a doc trip
You'll be feelin' much better not sick
And he's ok but his wife's sick
And her back's thick and her walk's sick
She's a fly chick
Might hit

Man obama so I'll

He's makin history like x, King, and Douglas
And rfk Obama he s that new black knew that
Red neck said he won't beat john mccain
He don't wear a flag and his middle name's Hussein
But who gon' be that boy dat dat dat boy they call Obama
Got republicans sweatin like they up in saunas
Even Mccains 90 somethin' momma
He ready to pull his lever every hour
And I'd rather eat a field mouse
Than to see John Mccain in the White House
Vote Obama in and I promise you won't turn back
In to some uncle Tom-as
No Aunt Jemima or southern fried chicken
Call him cheif obama or Mr. Keeps on tickin
Man pass the riots comment couldn't pass his tally
Even Oprah Winfrey said that she was right behind him
People I say this country shol' holt without him
But he's gotta go out relate to every body
He do what he do like give his wife a hug then a fist dap
Gotta do that stuff in public so the hood know that he's black
Gotta use big words white people love to hear them
If they hear it they don't fear him they don't know him but they feel him
That's real"
6,rihanna,take a bow,R_and_B,"Oh, how about a round of applause
Yeah, standin' ovation
Oh oh yeah, yeah yeah yeah

You look so dumb right now
Standing' outside my house
Trying' to apologize
You're so ugly when you cry
Please, just cut it out

And don't tell me you're sorry 'cause you're not
Baby when I know you're only sorry you got caught

But you put on quite a show
Really had me going
But now it's time to go
Curtain's finally closing
That was quite a show
Very entertainin'
But it's over now (but it's over now)
Go on and take a bow
Oh...

Grab your clothes and get gone (get gone)
You better hurry up before the sprinklers come on
Talkin' about, girl, I love you, you're the one
This just looks like a re-run
Please, what else is on (oh)

And don't tell me you're sorry 'cause you're not
Baby when I know you're only sorry you got caught

But you put on quite a show
Really had me going
But now it's time to go
Curtain's finally closing
That was quite a show
Very entertainin'
But it's over now (but it's over now)
Go on and take a bow

Oh, and the award for the best liar goes to you
For making me believe that you could be faithful to me
Let's hear your speech out

How about a round of applause
A standin' ovation

But you put on quite a show
Really had me going
Now it's time to go
Curtain's finally closing
That was quite a show
Very entertainin'
But it's over now (but it's over now)
Go on and take a bow

But it's over now..."
8,t.i.,whatever you like,R_and_B,"Hey Jill
You know the old sugga daddy

I said you can have whatever you like (you like)
I said you can have whatever you like (you like)
Yeah

[Chorus:]
Stacks on deck
Patron' on ice
And we can pop bottles all night
Baby you can have whatever you like (you like)
I said you can have whatever you like (you like)
Yeah
Late night s** so wet you're so tight
I'll gas up the jet for you tonight
Baby you can go where ever you like (you like)
I said you can go where ever you like (you like)
Yeah

[Verse 1:]
Anytime you want to pick up the telephone
You know it ain't nothin to drop a couple stacks on you
Wanted you could get it my dear
Five million dollar home, drop Bentley's I swear
Yeah I want'cho body, I need yo body
Long as you got me you won't need nobody
If you want it I got it, go get it I buy it
Tell 'em other broke niggas be quiet

[Chorus:]
Stacks on deck
Patron' on ice
And we can pop bottles all night
Baby you can have whatever you like (you like)
I said you can have whatever you like (you like)
Yeah
Late night s** so wet you're so tight
I'll gas up the jet for you tonight
Baby you can go where ever you like (you like)
I said you can go where ever you like (you like)
Yeah

[Verse 2:]
Shawty you da hottest love the way you drop it
Brain so good swore you went to college
Hundred can't deposit, vacations hit the tropics
Cause everybody know it ain't trickin if ya got it
And you ain't never ever gotta go in yo wallet
Long as I got rubberband banks in my pocket
Five six, rides with rims and a body kit
Ya ain't gotta downgrade you can get what I get
My chick can have what she want
And go in any store for any bag she want
And know she ain't never had a man like that
To buy you anything ya heart desire like that
Yeah I want'cho body, I need yo body
Long as you got me you won't need nobody
You want it I got it, go get it I buy it
Tell 'em other broke niggas be quiet

[Chorus:]
Stacks on deck
Patron' on ice
And we can pop bottles all night
Baby you can have whatever you like (you like)
I said you can have whatever you like (you like)
Yeah
Late night s** so wet you're so tight
I'll gas up the jet for you tonight
Baby you can go where ever you like (you like)
I said you can go where ever you like (you like)
Yeah

[Verse 3:]
I'm talkin' big boy rides
And big boy ice
Let me put this big boy in yo life
The thang get so wet, it hit so right
Let me put this big boy in yo life
That's right
Yeah I want'cho body, I need yo body
Long as you got me you won't need nobody
You want it I got it, go get it I buy it
Tell 'em other broke niggas be quiet

[Chorus:]
Stacks on deck
Patron' on ice
And we can pop bottles all night
Baby you can have whatever you like (you like)
I said you can have whatever you like (you like)
Yeah
Late night s** so wet you're so tight
I'll gas up the jet for you tonight
Baby you can go where ever you like (you like)
I said you can go where ever you like (you like)
Yeah

Hey Jill"
9,jennifer hudson,spotlight,R_and_B,"Are you a man who loves
And cherishes
And cares for me?
Is that true? Is that true?
Is that true?
Are you a guard in a prison
Maximum security?
Is that true? Is that true?
Is that true?
Do we stay home all the time
Cuz you want me to yourself?
Is that true? Is that true?
Is that true?
Or am I locked away
Had a feeling that I'd find
Someone else
Is that true? Is that true?
Is that true?

[Chorus:]
Well, I don't like
Living under your spotlight
Just because you think
I might find somebody worthy
Well, I don't like
Living under your spotlight
Baby, if you treat me right
You won't have to worry

Is this a relationship
Fulfilling your needs
As well as mine
Is that true? Is that true?
Is that true?
Or is this just my sentence
Am I doing time?
Is that true? Is that true?
Is that true?
If this is love
Real, real love
Then I'm staying no doubt
But if I'm just a prisoner
Then I'm busting out
Is that true? Is that true?
Is that true?

[Chorus:]

Oh, you oughta be
Ashamed of yourself
What the hell
Do you think you're doing?
Loving me, loving me
So wrong
Baby, all I do is try
(Try)
To show you
That you're my
(My)
One and only guy
(Only guy)
No matter
Who may come along
Open your eyes
Cuz baby, I don't lie

(Chorus 2x)"
10,ne-yo,miss independent,R_and_B,"Ooh
It's something about
Just something about
The way she moved
I can't figure it out
There's something
About her
(About her)
Say ooh
There's something
About kinda women
That want you
But don't need you
Hey
I can't figure it out
There's something
About her
Cuz she walk like a boss
Talk like a boss
Manicured nails
Just sent
The pedicure off
She's fly effortlessly
Cuz she move like a boss
Do what a boss
Do
She got me thinking
About getting involved
That's the kinda girl
I need

She got her own thing
That's why I love her
Miss independent
Won't you come
And spend a little time
She got her own thing
That's why I love her
Miss independent
Ooh
The way you shine
Miss independent

Hey, yeah, yeah
Yeah, yeah, yeah
Yeahhh, mmm
Ooh
There's something
About kinda woman
That can do
It for herself
I look at her
And it makes me proud
There's something
About her
There something
Ooh
So s***
About the kinda women
That don't even
Need my help
She says she got it
She got it
No doubt
There's something
About her
Cuz she work
Like the boss
Play like the boss
Car and a crib
She about
To pay em both off
And her bills
Are paid on time
She made for a boss
Soley a boss
Anything less
She's telling em
To get lost
That's the girl
That on my mind

She got her own thing
That's why I love her
Miss independent
Won't you come
And spend
A little time
She got her own thing
That's why I love her
Miss independent
Ooh
The way you shine
Miss independent

Yeah, yeahhh

Her favorite thing
Is to say
Don't worry I got it
And everything she got
Best believe
She bought it
She gon steal my heart
Ain't no doubt about it
Girl
Your everything I need
Said your everything
I need

She got her own thing
That's why I love her
Miss independent
Wont you come
And spend a little time
She got her own thing
That's why I love her
Miss independent
Ooh the way you shine
Miss independent
That's why I love her"
